workspace_id,is_paying,best_matching_unit,bmu_category
1,0,"(0, 1)",  0 percent paying | n = 1
2,0,"(2, 1)",>50 percent paying | n = 2
3,1,"(2, 1)",>50 percent paying | n = 2
4,0,"(2, 0)",>50 percent paying | n = 10
5,0,"(1, 0)",<50 percent paying | n = 5
6,0,"(0, 0)",<50 percent paying | n = 29
7,1,"(2, 0)",>50 percent paying | n = 10
8,0,"(2, 0)",>50 percent paying | n = 10
9,0,"(2, 0)",>50 percent paying | n = 10
10,1,"(0, 0)",<50 percent paying | n = 29
11,0,"(0, 0)",<50 percent paying | n = 29
12,1,"(0, 0)",<50 percent paying | n = 29
13,1,"(2, 0)",>50 percent paying | n = 10
14,0,"(0, 0)",<50 percent paying | n = 29
15,0,"(0, 0)",<50 percent paying | n = 29
16,0,"(1, 0)",<50 percent paying | n = 5
17,0,"(0, 0)",<50 percent paying | n = 29
18,0,"(0, 0)",<50 percent paying | n = 29
19,0,"(2, 0)",>50 percent paying | n = 10
20,1,"(0, 0)",<50 percent paying | n = 29
21,0,"(2, 0)",>50 percent paying | n = 10
22,0,"(0, 0)",<50 percent paying | n = 29
23,0,"(0, 0)",<50 percent paying | n = 29
24,1,"(0, 0)",<50 percent paying | n = 29
25,0,"(0, 0)",<50 percent paying | n = 29
26,0,"(0, 0)",<50 percent paying | n = 29
27,0,"(0, 0)",<50 percent paying | n = 29
28,1,"(0, 0)",<50 percent paying | n = 29
29,1,"(0, 0)",<50 percent paying | n = 29
30,0,"(0, 0)",<50 percent paying | n = 29
31,0,"(0, 0)",<50 percent paying | n = 29
32,0,"(1, 0)",<50 percent paying | n = 5
33,1,"(2, 0)",>50 percent paying | n = 10
34,1,"(0, 0)",<50 percent paying | n = 29
35,1,"(0, 0)",<50 percent paying | n = 29
36,1,"(0, 0)",<50 percent paying | n = 29
37,1,"(0, 0)",<50 percent paying | n = 29
38,1,"(2, 0)",>50 percent paying | n = 10
39,1,"(0, 0)",<50 percent paying | n = 29
40,0,"(0, 0)",<50 percent paying | n = 29
41,0,"(0, 0)",<50 percent paying | n = 29
42,1,"(0, 0)",<50 percent paying | n = 29
43,1,"(2, 0)",>50 percent paying | n = 10
44,1,"(0, 0)",<50 percent paying | n = 29
45,1,"(1, 0)",<50 percent paying | n = 5
46,1,"(0, 0)",<50 percent paying | n = 29
47,1,"(1, 0)",<50 percent paying | n = 5
48,1,"(3, 0)",>50 percent paying | n = 21
49,1,"(4, 0)",<50 percent paying | n = 37
50,1,"(3, 1)",100 percent paying | n = 1
51,1,"(4, 0)",<50 percent paying | n = 37
52,0,"(3, 0)",>50 percent paying | n = 21
